669	214	1
690	179	1
698	205	1
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
653	234	1
637	212	1
649	180	1
658	195	1
656	210	1
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
663	226	1
669	214	1
690	179	1
698	205	1
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
653	234	1
637	212	1
649	180	1
658	195	1
656	210	1
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
663	226	1
603	214	1
617	191	1
617	191	1
598	192	1
598	170	1
612	156	1
632	169	1
630	202	1
614	206	1
619	229	1
639	236	1
649	246	1
650	161	1
670	165	1
613	179	1
640	194	1
666	183	1
694	219	1
669	214	1
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
663	226	1
653	234	1
637	212	1
690	179	1
698	205	1
649	180	1
658	195	1
656	210	1
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
617	132	1
610	115	1
587	116	1
586	132	1
592	151	1
571	112	1
669	214	1
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
663	226	1
578	97	1
595	102	1
607	136	1
653	234	1
637	212	1
690	179	1
570	132	1
582	152	1
592	120	1
599	138	1
607	155	1
698	205	1
649	180	1
658	195	1
656	210	1
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
522	286	2
553	206	2
576	302	2
575	285	2
548	310	2
570	317	2
593	301	2
584	267	2
558	273	2
546	282	2
589	312	2
588	291	2
603	290	2
566	276	2
594	281	2
559	291	2
566	276	2
576	302	2
575	285	2
548	310	2
570	317	2
593	301	2
584	267	2
558	273	2
546	282	2
589	312	2
588	291	2
603	290	2
594	281	2
559	291	2
274	119	3
317	144	3
267	164	3
233	137	3
272	99	3
297	116	3
268	142	3
468	308	4
441	263	4
380	223	4
394	202	4
419	198	4
447	215	4
426	226	4
405	219	4
446	233	4
492	236	4
482	199	4
468	166	4
446	171	4
445	186	4
464	205	4
431	254	4
465	238	4
473	222	4
506	217	4
510	184	4
490	179	4
512	204	4
469	186	4
493	156	4
497	201	4
380	223	4
394	202	4
419	198	4
447	215	4
426	226	4
405	219	4
446	233	4
492	236	4
482	199	4
468	166	4
446	171	4
445	186	4
464	205	4
431	254	4
465	238	4
473	222	4
506	217	4
510	184	4
490	179	4
512	204	4
469	186	4
493	156	4
497	201	4
531	214	4
537	196	4
530	170	4
517	161	4
552	179	4
527	234	4
502	250	4
508	230	4
487	215	4
487	215	4
469	256	4
494	200	4
526	187	4
545	194	4
500	171	4
431	207	4
428	182	4
536	154	4
517	150	4
481	165	4
380	223	4
394	202	4
419	198	4
447	215	4
426	226	4
405	219	4
446	233	4
512	204	4
469	186	4
493	156	4
497	201	4
465	238	4
473	222	4
492	236	4
482	199	4
468	166	4
446	171	4
445	186	4
464	205	4
431	254	4
506	217	4
510	184	4
490	179	4
380	223	4
394	202	4
419	198	4
447	215	4
469	186	4
493	156	4
497	201	4
426	226	4
405	219	4
446	233	4
512	204	4
465	238	4
473	222	4
492	236	4
482	199	4
468	166	4
446	171	4
445	186	4
464	205	4
431	254	4
506	217	4
510	184	4
490	179	4
